Pathway,Succinate,Succinate,Succinate,Succinate,Succinate,Succinate,Succinate,Succinate,Succinate,Succinate,Succinate,Succinate,Succinate,Succinate,acrylate,acrylate,propanediol,propanediol,propanediol,propanediol,propanediol
ERR3452811,0.0,0.016005106658592356,0.0006551798047376988,0.0046798557481264194,0.026675177764320594,0.0009359711496252839,0.09078920151365254,0.0,0.0006551798047376988,0.0046798557481264194,0.026675177764320594,0.05035524784984027,0.0005615826897751704,0.09078920151365254,0.016005106658592356,0.0009359711496252839,0.05381834110345383,0.01216762494512869,0.016005106658592356,0.010295682645878124,0.0009359711496252839
ERR3452814,7.556157361510748e-05,0.037856348381168844,0.00045336944169064485,0.01020081243803951,0.06324503711584496,0.00899182726019779,0.08213543051962183,7.556157361510748e-05,0.00045336944169064485,0.01020081243803951,0.06324503711584496,0.05704898807940614,0.0009067388833812897,0.08213543051962183,0.037856348381168844,0.00899182726019779,0.05946695843508958,0.01405445269240999,0.037856348381168844,0.008765142539352467,0.00899182726019779
ERR3452803,0.0,0.021643980568515225,0.0,0.0011317114022753058,0.05616117833791205,0.0032536702815415043,0.02503911477534114,0.0,0.0,0.0011317114022753058,0.05616117833791205,0.05976850843266459,0.00042439177585323966,0.02503911477534114,0.021643980568515225,0.0032536702815415043,0.0920222833975108,0.014924444117505594,0.021643980568515225,0.005163433272881083,0.0032536702815415043
ERR3452812,0.0,0.0183630427561847,0.0,0.008641431885263388,0.09946648159600045,0.0037806264498027324,0.0890247514013072,0.0,0.0,0.008641431885263388,0.09946648159600045,0.07948317036132888,0.000720119323771949,0.0890247514013072,0.0183630427561847,0.0037806264498027324,0.06301044083004553,0.007291208153190984,0.0183630427561847,0.0018903132249013662,0.0037806264498027324
ERR3452801,0.0,0.02567287842769753,0.0002805779063136342,0.00385794621181247,0.03850931764154629,0.002034189820773848,0.02363868860692368,0.0,0.0002805779063136342,0.00385794621181247,0.03850931764154629,0.04804896645620985,7.014447657840854e-05,0.02363868860692368,0.02567287842769753,0.002034189820773848,0.07779022452545507,0.012836439213848765,0.02567287842769753,0.003717657258655653,0.002034189820773848
ERR3452810,0.0,0.04048111844975165,7.139527063448263e-05,0.004640692591241371,0.03933879411959993,0.00271302028411034,0.036126006941048214,0.0,7.139527063448263e-05,0.004640692591241371,0.03933879411959993,0.02762996973554478,0.00014279054126896526,0.036126006941048214,0.04048111844975165,0.00271302028411034,0.07632154430826193,0.008210456122965502,0.04048111844975165,0.0029986013666482704,0.00271302028411034
ERR3452807,8.130530793572327e-05,0.02902599493305321,0.00016261061587144655,0.006097898095179246,0.07065431259614352,0.00422787601265761,0.030652101091767674,8.130530793572327e-05,0.00016261061587144655,0.006097898095179246,0.07065431259614352,0.05374280854551308,0.000894358387292956,0.030652101091767674,0.02902599493305321,0.00422787601265761,0.07000387013265774,0.012764933345908554,0.02902599493305321,0.002926991085686038,0.00422787601265761
ERR3452804,0.0,0.02979256998685622,6.043117644392742e-05,0.002477678234201024,0.04115363115831457,0.0013294858817664032,0.013536583523439743,0.0,6.043117644392742e-05,0.002477678234201024,0.04115363115831457,0.03631913704280038,0.00036258705866356456,0.013536583523439743,0.02979256998685622,0.0013294858817664032,0.08466407819794232,0.025501956459337373,0.02979256998685622,0.00586182411506096,0.0013294858817664032
ERR3452800,0.0,0.02429080928038658,0.0,0.002450704793866895,0.05434798278163644,0.0011532728441726566,0.011028171572401027,0.0,0.0,0.002450704793866895,0.05434798278163644,0.050671925590836095,0.0007207955276079103,0.011028171572401027,0.02429080928038658,0.0011532728441726566,0.08152197417245466,0.01758741087363301,0.02429080928038658,0.005405966457059327,0.0011532728441726566
ERR3452808,0.0,0.0350779716071705,0.0033357952197012064,0.002762455416315062,0.03148156738593014,0.0037527696221638573,0.041801683846880745,0.0,0.0033357952197012064,0.002762455416315062,0.03148156738593014,0.030595496780697003,0.0006254616036939762,0.041801683846880745,0.0350779716071705,0.0037527696221638573,0.08855493872300547,0.041801683846880745,0.0350779716071705,0.07781784785959221,0.0037527696221638573
ERR3452813,0.0,0.029056860272823164,0.0,0.0057817221971433845,0.06730517634623324,0.00037062321776560155,0.030984101005204292,0.0,0.0,0.0057817221971433845,0.06730517634623324,0.041361551102641135,0.0008153710790843235,0.030984101005204292,0.029056860272823164,0.00037062321776560155,0.08783770261044757,0.02631424846135771,0.029056860272823164,0.009784452949011882,0.00037062321776560155
